time,pitch,yaw,hfov
4510,-4.732105822842603,-97.91960260260714,100
4521,-4.880465794582969,-97.91960260260714,100
4531,-4.880465794582969,-97.91960260260714,100
4541,-5.177431970048949,-98.13249012085066,100
4550,-5.177431970048949,-98.13249012085066,100
4560,-5.326034588006609,-98.56077067323179,100
4570,-5.326034588006609,-98.56077067323179,100
4580,-6.219209853008425,-100.86400898652153,100
4590,-6.517485317833355,-102.45039089776697,100
4600,-6.816011481154696,-103.9595143202942,100
4613,-7.862612857881988,-107.6948456074108,100
4663,-9.511563308375777,-118.67934863966383,100
4679,-9.961908469370258,-123.12256405036504,100
4714,-9.811771625241164,-129.0787084074894,100
4725,-9.66165593287908,-131.93827069886345,100
4748,-8.911461745801954,-136.7920454440798,100
4752,-8.911461745801954,-136.7920454440798,100
4761,-8.761513134947947,-138.06948386178453,100
4773,-8.461721380385338,-139.059607492057,100
4784,-7.413756593393693,-142.00707835357116,100
4795,-7.114773533308013,-142.84172236019896,100
4801,-7.114773533308013,-142.84172236019896,100
4810,-6.816011481154696,-143.67254805936818,100
4832,-5.326034588006609,-146.68221015887758,100
4842,-4.139528256108744,-149.09586028070146,100
4852,-4.139528256108744,-149.09586028070146,100
4866,-3.400878607931555,-151.06931378623568,100
4874,-2.8117522447951404,-152.4928360682879,100
4880,-2.8117522447951404,-152.4928360682879,100
4890,-2.5178244745941685,-153.89522144242335,100
4900,-2.3710253490848547,-154.273905735558,100
4910,-2.2243382926359705,-154.52544454324243,100
4920,-2.2243382926359705,-154.77624403960954,100
4932,-1.93130702676279,-155.15104727337132,100
4940,-1.93130702676279,-155.39997908144568,100
4950,-1.93130702676279,-155.39997908144568,100
4960,-1.7849661168463564,-155.52416229491052,100
4970,-1.7849661168463564,-155.6481563601145,100
4980,-1.7849661168463564,-155.77196077028373,100
4990,-1.7849661168463564,-155.77196077028373,100
5001,-1.7849661168463564,-155.89557502593152,100
5010,-1.7849661168463564,-155.89557502593152,100
5020,-1.7849661168463564,-156.01899863483982,100
5030,-1.7849661168463564,-156.01899863483982,100
5041,-1.7849661168463564,-156.1422311120403,100
5050,-1.7849661168463564,-156.26527197979476,100
5060,-1.7849661168463564,-156.26527197979476,100
5070,-1.7849661168463564,-156.26527197979476,100
5080,-1.7849661168463564,-156.26527197979476,100
5091,-1.7849661168463564,-156.26527197979476,100
5100,-1.7849661168463564,-156.26527197979476,100
5110,-1.7849661168463564,-156.26527197979476,100
5121,-1.7849661168463564,-156.26527197979476,100
5130,-1.7849661168463564,-156.26527197979476,100
5140,-1.7849661168463564,-156.26527197979476,100
5151,-1.7849661168463564,-156.26527197979476,100
5160,-1.7849661168463564,-156.26527197979476,100
5170,-1.7849661168463564,-156.26527197979476,100
5180,-1.7849661168463564,-156.26527197979476,100
5190,-1.7849661168463564,-156.26527197979476,100
5200,-1.7849661168463564,-156.26527197979476,100
5210,-1.7849661168463564,-156.26527197979476,100
5220,-1.7849661168463564,-156.26527197979476,100
5230,-1.7849661168463564,-156.26527197979476,100
5246,-1.7849661168463564,-156.26527197979476,100
5257,-1.7849661168463564,-156.26527197979476,100
5262,-1.7849661168463564,-156.26527197979476,100
5270,-1.7849661168463564,-156.26527197979476,100
5280,-1.7849661168463564,-156.26527197979476,100
5290,-1.7849661168463564,-156.26527197979476,100
5300,-1.7849661168463564,-156.26527197979476,100
5310,-1.7849661168463564,-156.26527197979476,100
